ID,Start_c,End_c,Consumption,Start_time,End_time,
20012893,14110,14112,0,2016/12/15 17:48,2016/12/15 17:59,
20012893,14112,14112,0,2016/12/15 17:59,2016/12/15 18:10,
20012893,14112,3272,0,2016/12/15 18:10,2016/12/26 15:19,
80000089,28697,28700,3,2016/10/5 22:54,2016/10/5 22:59,
80000089,28700,28725,25,2016/10/5 22:59,2016/10/5 23:59,
80000089,28725,28750,25,2016/10/5 23:59,2016/10/6 0:59,
80000089,28750,28775,25,2016/10/6 0:59,2016/10/6 1:59,
80000089,28775,28800,25,2016/10/6 1:59,2016/10/6 2:59,
80000089,28800,28825,25,2016/10/6 2:59,2016/10/6 3:59,
80000089,28825,28850,25,2016/10/6 3:59,2016/10/6 4:59,
80000089,28850,28875,25,2016/10/6 4:59,2016/10/6 5:59,
80000089,28875,28900,25,2016/10/6 5:59,2016/10/6 6:59,
80000089,28900,28922,22,2016/10/6 6:59,2016/10/6 7:59,
80000089,28922,28942,20,2016/10/6 7:59,2016/10/6 8:59,
80000089,28942,28960,18,2016/10/6 8:59,2016/10/6 9:59,
80000089,28960,28980,20,2016/10/6 9:59,2016/10/6 10:59,
80000089,28980,29002,22,2016/10/6 10:59,2016/10/6 11:59,
80000089,29002,29027,25,2016/10/6 11:59,2016/10/6 12:59,
80000089,29027,29050,23,2016/10/6 12:59,2016/10/6 13:59,
80000089,29050,29072,22,2016/10/6 13:59,2016/10/6 14:59,
80000089,29072,29097,25,2016/10/6 14:59,2016/10/6 15:59,
80000089,29097,29120,23,2016/10/6 15:59,2016/10/6 16:59,
80000089,29120,29140,20,2016/10/6 16:59,2016/10/6 17:59,
80000089,29140,29162,22,2016/10/6 17:59,2016/10/6 18:59,
80000089,29162,29187,25,2016/10/6 18:59,2016/10/6 19:59,
80000089,29187,29210,23,2016/10/6 19:59,2016/10/6 20:59,
80000089,29210,29235,25,2016/10/6 20:59,2016/10/6 21:59,
80000089,29235,29257,22,2016/10/6 21:59,2016/10/6 22:59,
80000089,29257,29280,23,2016/10/6 22:59,2016/10/6 23:59,
80000089,29280,29300,20,2016/10/6 23:59,2016/10/7 0:59,
80000089,29300,29322,22,2016/10/7 0:59,2016/10/7 1:59,
80000089,29322,29345,23,2016/10/7 1:59,2016/10/7 2:59,
80000089,29345,29370,25,2016/10/7 2:59,2016/10/7 3:59,
80000089,29370,29395,25,2016/10/7 3:59,2016/10/7 4:59,
80000089,29395,29417,22,2016/10/7 4:59,2016/10/7 5:59,
80000089,29417,29442,25,2016/10/7 5:59,2016/10/7 6:59,
80000089,29442,29465,23,2016/10/7 6:59,2016/10/7 7:59,
80000089,29465,29490,25,2016/10/7 7:59,2016/10/7 8:59,
80000089,29490,29512,22,2016/10/7 8:59,2016/10/7 9:59,
80000089,29512,29535,23,2016/10/7 9:59,2016/10/7 10:59,
80000089,29535,29560,25,2016/10/7 10:59,2016/10/7 11:59,
80000089,29560,29585,25,2016/10/7 11:59,2016/10/7 12:59,
80000089,29585,29607,22,2016/10/7 12:59,2016/10/7 13:59,
80000089,29607,29632,25,2016/10/7 13:59,2016/10/7 14:59,
80000089,29632,29657,25,2016/10/7 14:59,2016/10/7 15:59,
80000089,29657,29682,25,2016/10/7 15:59,2016/10/7 16:59,
80000089,29682,29705,23,2016/10/7 16:59,2016/10/7 17:59,
80000089,29705,29730,25,2016/10/7 17:59,2016/10/7 18:59,
80000089,29730,29752,22,2016/10/7 18:59,2016/10/7 19:59,
80000089,29752,29777,25,2016/10/7 19:59,2016/10/7 20:59,
80000089,29777,29802,25,2016/10/7 20:59,2016/10/7 21:59,
80000089,29802,29825,23,2016/10/7 21:59,2016/10/7 22:59,
80000089,29825,29850,25,2016/10/7 22:59,2016/10/7 23:59,
80000089,29850,29875,25,2016/10/7 23:59,2016/10/8 0:59,
80000089,29875,29897,22,2016/10/8 0:59,2016/10/8 1:59,
80000089,29897,29922,25,2016/10/8 1:59,2016/10/8 2:59,
80000089,29922,29947,25,2016/10/8 2:59,2016/10/8 3:59,
80000089,29947,29972,25,2016/10/8 3:59,2016/10/8 4:59,
80000089,29972,29997,25,2016/10/8 4:59,2016/10/8 5:59,
80000089,29997,30020,23,2016/10/8 5:59,2016/10/8 6:59,
80000089,30020,30045,25,2016/10/8 6:59,2016/10/8 7:59,
80000089,30045,30067,22,2016/10/8 7:59,2016/10/8 8:59,
80000089,30067,30092,25,2016/10/8 8:59,2016/10/8 9:59,
80000089,30092,30115,23,2016/10/8 9:59,2016/10/8 10:59,
80000089,30115,30142,27,2016/10/8 10:59,2016/10/8 11:59,
80000089,30142,30167,25,2016/10/8 11:59,2016/10/8 12:59,
80000089,30167,30192,25,2016/10/8 12:59,2016/10/8 13:59,
80000089,30192,30217,25,2016/10/8 13:59,2016/10/8 14:59,
80000089,30217,30242,25,2016/10/8 14:59,2016/10/8 15:59,
80000089,30242,30267,25,2016/10/8 15:59,2016/10/8 16:59,
80000089,30267,30292,25,2016/10/8 16:59,2016/10/8 17:59,
80000089,30292,30317,25,2016/10/8 17:59,2016/10/8 18:59,
80000089,30317,30342,25,2016/10/8 18:59,2016/10/8 19:59,
80000089,30342,30362,20,2016/10/8 19:59,2016/10/8 20:59,
80000089,30362,30380,18,2016/10/8 20:59,2016/10/8 21:59,
80000089,30380,30402,22,2016/10/8 21:59,2016/10/8 22:59,
80000089,30402,30427,25,2016/10/8 22:59,2016/10/8 23:59,
80000089,30427,30452,25,2016/10/8 23:59,2016/10/9 0:59,
80000089,30452,30477,25,2016/10/9 0:59,2016/10/9 1:59,
80000089,30477,30500,23,2016/10/9 1:59,2016/10/9 2:59,
80000089,30500,30522,22,2016/10/9 2:59,2016/10/9 3:59,
80000089,30522,30547,25,2016/10/9 3:59,2016/10/9 4:59,
80000089,30547,30572,25,2016/10/9 4:59,2016/10/9 5:59,
80000089,30572,30595,23,2016/10/9 5:59,2016/10/9 6:59,
80000089,30595,30617,22,2016/10/9 6:59,2016/10/9 7:59,
80000089,30617,30642,25,2016/10/9 7:59,2016/10/9 8:59,
80000089,30642,30665,23,2016/10/9 8:59,2016/10/9 9:59,
80000089,30665,30677,12,2016/10/9 9:59,2016/10/9 10:59,
80000089,30677,30697,20,2016/10/9 10:59,2016/10/9 11:47,
80000089,30697,30727,30,2016/10/9 11:47,2016/10/9 12:58,
80000089,30727,30750,23,2016/10/9 12:58,2016/10/9 13:59,
80000089,30750,30775,25,2016/10/9 13:59,2016/10/9 14:59,
80000089,30775,30797,22,2016/10/9 14:59,2016/10/9 15:59,
80000089,30797,30822,25,2016/10/9 15:59,2016/10/9 16:59,
80000089,30822,30845,23,2016/10/9 16:59,2016/10/9 17:59,
80000089,30845,30870,25,2016/10/9 17:59,2016/10/9 18:59,
80000089,30870,30892,22,2016/10/9 18:59,2016/10/9 19:59,
80000089,30892,30917,25,2016/10/9 19:59,2016/10/9 20:59,
80000089,30917,30942,25,2016/10/9 20:59,2016/10/9 21:59,
80000089,30942,30967,25,2016/10/9 21:59,2016/10/9 22:59,
80000089,30967,30992,25,2016/10/9 22:59,2016/10/9 23:59,
80000089,30992,31017,25,2016/10/9 23:59,2016/10/10 0:59,
80000089,31017,31040,23,2016/10/10 0:59,2016/10/10 1:59,
80000089,31040,31060,20,2016/10/10 1:59,2016/10/10 2:59,
80000089,31060,31082,22,2016/10/10 2:59,2016/10/10 3:59,
80000089,31082,31107,25,2016/10/10 3:59,2016/10/10 4:59,
80000089,31107,31132,25,2016/10/10 4:59,2016/10/10 5:59,
80000089,31132,31155,23,2016/10/10 5:59,2016/10/10 6:59,
80000089,31155,31177,22,2016/10/10 6:59,2016/10/10 7:59,
80000089,31177,31200,23,2016/10/10 7:59,2016/10/10 8:59,
80000089,31200,31222,22,2016/10/10 8:59,2016/10/10 9:59,
