ID,Start_c,End_c,Consumption,Start_time,End_time
80000082,33492,33505,13,2016/11/1 21:59,2016/11/1 22:59
80000082,33505,33520,15,2016/11/1 22:59,2016/11/1 23:59
80000082,33520,33535,15,2016/11/1 23:59,2016/11/2 0:59
80000082,33535,33557,22,2016/11/2 0:59,2016/11/2 1:59
80000082,33557,33575,18,2016/11/2 1:59,2016/11/2 2:59
80000082,33575,33590,15,2016/11/2 2:59,2016/11/2 3:59
80000082,33590,33597,7,2016/11/2 3:59,2016/11/2 4:59
80000082,33597,33607,10,2016/11/2 4:59,2016/11/2 5:59
80000082,33607,33615,8,2016/11/2 5:59,2016/11/2 6:59
80000082,33615,33622,7,2016/11/2 6:59,2016/11/2 7:59
80000082,33622,33630,8,2016/11/2 7:59,2016/11/2 8:59
80000082,33630,33637,7,2016/11/2 8:59,2016/11/2 9:59
80000082,33637,33645,8,2016/11/2 9:59,2016/11/2 10:59
80000082,33645,33652,7,2016/11/2 10:59,2016/11/2 11:59
80000082,33652,33695,43,2016/11/2 11:59,2016/11/2 12:59
80000082,33695,33702,7,2016/11/2 12:59,2016/11/2 13:59
80000082,33702,33710,8,2016/11/2 13:59,2016/11/2 14:59
80000082,33710,33717,7,2016/11/2 14:59,2016/11/2 15:59
80000082,33717,33737,20,2016/11/2 15:59,2016/11/2 16:59
80000082,33737,33830,93,2016/11/2 16:59,2016/11/2 17:59
80000082,33830,33840,10,2016/11/2 17:59,2016/11/2 18:59
80000082,33840,33852,12,2016/11/2 18:59,2016/11/2 19:59
80000082,33852,33880,28,2016/11/2 19:59,2016/11/2 20:59
80000082,33880,33892,12,2016/11/2 20:59,2016/11/2 21:59
80000082,33892,33905,13,2016/11/2 21:59,2016/11/2 22:59
80000082,33905,33945,40,2016/11/2 22:59,2016/11/2 23:59
80000082,33945,34025,80,2016/11/2 23:59,2016/11/3 0:59
80000082,34025,34090,65,2016/11/3 0:59,2016/11/3 1:59
80000082,34090,34105,15,2016/11/3 1:59,2016/11/3 2:59
80000082,34105,34117,12,2016/11/3 2:59,2016/11/3 3:59
80000082,34117,34127,10,2016/11/3 3:59,2016/11/3 4:59
80000082,34127,34135,8,2016/11/3 4:59,2016/11/3 5:59
80000082,34135,34142,7,2016/11/3 5:59,2016/11/3 6:59
80000082,34142,34162,20,2016/11/3 6:59,2016/11/3 7:59
80000082,34162,34170,8,2016/11/3 7:59,2016/11/3 8:59
80000082,34170,34177,7,2016/11/3 8:59,2016/11/3 9:59
80000082,34177,34185,8,2016/11/3 9:59,2016/11/3 10:59
80000082,34185,34192,7,2016/11/3 10:59,2016/11/3 11:59
80000082,34192,34200,8,2016/11/3 11:59,2016/11/3 12:59
80000082,34200,34230,30,2016/11/3 12:59,2016/11/3 13:59
80000082,34230,34272,42,2016/11/3 13:59,2016/11/3 14:59
80000082,34272,34305,33,2016/11/3 14:59,2016/11/3 15:59
80000082,34305,34352,47,2016/11/3 15:59,2016/11/3 16:59
80000082,34352,34387,35,2016/11/3 16:59,2016/11/3 17:59
80000082,34387,34422,35,2016/11/3 17:59,2016/11/3 18:59
80000082,34422,34467,45,2016/11/3 18:59,2016/11/3 19:59
80000082,34467,34505,38,2016/11/3 19:59,2016/11/3 20:59
80000082,34505,34597,92,2016/11/3 20:59,2016/11/3 21:59
80000082,34597,34637,40,2016/11/3 21:59,2016/11/3 22:59
80000082,34637,34670,33,2016/11/3 22:59,2016/11/3 23:59
80000082,34670,34682,12,2016/11/3 23:59,2016/11/4 0:59
80000082,34682,34692,10,2016/11/4 0:59,2016/11/4 1:59
80000082,34692,34702,10,2016/11/4 1:59,2016/11/4 2:59
80000082,34702,34710,8,2016/11/4 2:59,2016/11/4 3:59
80000082,34710,34717,7,2016/11/4 3:59,2016/11/4 4:59
80000082,34717,34725,8,2016/11/4 4:59,2016/11/4 5:59
80000082,34725,34732,7,2016/11/4 5:59,2016/11/4 6:59
80000082,34732,34740,8,2016/11/4 6:59,2016/11/4 7:59
80000082,34740,34752,12,2016/11/4 7:59,2016/11/4 8:59
80000082,34752,34760,8,2016/11/4 8:59,2016/11/4 9:59
80000082,34760,34765,5,2016/11/4 9:59,2016/11/4 10:59
80000082,34765,34772,7,2016/11/4 10:59,2016/11/4 11:59
80000082,34772,34792,20,2016/11/4 11:59,2016/11/4 12:59
80000082,34792,34800,8,2016/11/4 12:59,2016/11/4 13:59
80000082,34800,34805,5,2016/11/4 13:59,2016/11/4 14:59
80000082,34805,34812,7,2016/11/4 14:59,2016/11/4 15:59
80000082,34812,34820,8,2016/11/4 15:59,2016/11/4 16:59
80000082,34820,34827,7,2016/11/4 16:59,2016/11/4 17:59
80000082,34827,34835,8,2016/11/4 17:59,2016/11/4 18:59
80000082,34835,34842,7,2016/11/4 18:59,2016/11/4 19:59
80000082,34842,34852,10,2016/11/4 19:59,2016/11/4 20:59
80000082,34852,34870,18,2016/11/4 20:59,2016/11/4 21:59
80000082,34870,34895,25,2016/11/4 21:59,2016/11/4 22:59
80000082,34895,34920,25,2016/11/4 22:59,2016/11/4 23:59
80000082,34920,34947,27,2016/11/4 23:59,2016/11/5 0:59
80000082,34947,34970,23,2016/11/5 0:59,2016/11/5 1:59
80000082,34970,34987,17,2016/11/5 1:59,2016/11/5 2:59
80000082,34987,35005,18,2016/11/5 2:59,2016/11/5 3:59
80000082,35005,35012,7,2016/11/5 3:59,2016/11/5 4:59
80000082,35012,35022,10,2016/11/5 4:59,2016/11/5 5:59
80000082,35022,35027,5,2016/11/5 5:59,2016/11/5 6:59
80000082,35027,35035,8,2016/11/5 6:59,2016/11/5 7:59
80000082,35035,35047,12,2016/11/5 7:59,2016/11/5 8:59
80000082,35047,35055,8,2016/11/5 8:59,2016/11/5 9:59
80000082,35055,35062,7,2016/11/5 9:59,2016/11/5 10:59
80000082,35062,35070,8,2016/11/5 10:59,2016/11/5 11:59
80000082,35070,35105,35,2016/11/5 11:59,2016/11/5 12:59
80000082,35105,35120,15,2016/11/5 12:59,2016/11/5 14:59
80000082,35120,35127,7,2016/11/5 14:59,2016/11/5 15:59
80000082,35127,35132,5,2016/11/5 15:59,2016/11/5 16:59
80000082,35132,35140,8,2016/11/5 16:59,2016/11/5 17:59
80000082,35140,35147,7,2016/11/5 17:59,2016/11/5 18:59
80000082,35147,35155,8,2016/11/5 18:59,2016/11/5 19:59
80000082,35155,35162,7,2016/11/5 19:59,2016/11/5 20:59
80000082,35162,35170,8,2016/11/5 20:59,2016/11/5 21:59
80000082,35170,35177,7,2016/11/5 21:59,2016/11/5 22:59
80000082,35177,35192,15,2016/11/5 22:59,2016/11/5 23:59
80000082,35192,35220,28,2016/11/5 23:59,2016/11/6 0:59
80000082,35220,35242,22,2016/11/6 0:59,2016/11/6 1:59
80000082,35242,35260,18,2016/11/6 1:59,2016/11/6 2:59
